Company,Location,State,Month,Quarter,PL_Head,Category,Budget,Actual,Salesperson
Company 1,San Francisco,California,Jan,Quarter-1,Sales,Sales - Product 1,28344.6712,34013.60544,Alpha
Company 1,San Francisco,California,Jan,Quarter-1,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Jan,Quarter-1,Sales,Sales - Product 3,14172.3356,12046.48526,Bravo
Company 1,San Francisco,California,Feb,Quarter-1,Sales,Sales - Product 1,28344.6712,34013.60544,Alpha
Company 1,San Francisco,California,Feb,Quarter-1,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Feb,Quarter-1,Sales,Sales - Product 3,14172.3356,11337.86848,Bravo
Company 1,San Francisco,California,Mar,Quarter-1,Sales,Sales - Product 1,28344.6712,34013.60544,Alpha
Company 1,San Francisco,California,Mar,Quarter-1,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Mar,Quarter-1,Sales,Sales - Product 3,14172.3356,12188.20862,Bravo
Company 1,San Francisco,California,April,Quarter-2,Sales,Sales - Product 1,28344.6712,26927.43764,Alpha
Company 1,San Francisco,California,April,Quarter-2,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,April,Quarter-2,Sales,Sales - Product 3,14172.3356,12755.10204,Bravo
Company 1,San Francisco,California,May,Quarter-2,Sales,Sales - Product 1,28344.6712,26927.43764,Alpha
Company 1,San Francisco,California,May,Quarter-2,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,May,Quarter-2,Sales,Sales - Product 3,14172.3356,15589.56916,Bravo
Company 1,San Francisco,California,June,Quarter-2,Sales,Sales - Product 1,28344.6712,26927.43764,Alpha
Company 1,San Francisco,California,June,Quarter-2,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,June,Quarter-2,Sales,Sales - Product 3,14172.3356,17006.80272,Bravo
Company 1,San Francisco,California,July,Quarter-3,Sales,Sales - Product 1,28344.6712,26927.43764,Alpha
Company 1,San Francisco,California,July,Quarter-3,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,July,Quarter-3,Sales,Sales - Product 3,14172.3356,10629.2517,Bravo
Company 1,San Francisco,California,Aug,Quarter-3,Sales,Sales - Product 1,28344.6712,26927.43764,Alpha
Company 1,San Francisco,California,Aug,Quarter-3,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Aug,Quarter-3,Sales,Sales - Product 3,14172.3356,10629.2517,Bravo
Company 1,San Francisco,California,Sept,Quarter-3,Sales,Sales - Product 1,28344.6712,48185.94104,Alpha
Company 1,San Francisco,California,Sept,Quarter-3,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Sept,Quarter-3,Sales,Sales - Product 3,14172.3356,10629.2517,Bravo
Company 1,San Francisco,California,Oct,Quarter-4,Sales,Sales - Product 1,28344.6712,48185.94104,Alpha
Company 1,San Francisco,California,Oct,Quarter-4,Sales,Sales - Product 2,14172.3356,5668.93424,Alpha
Company 1,San Francisco,California,Oct,Quarter-4,Sales,Sales - Product 3,14172.3356,10629.2517,Bravo
Company 1,San Francisco,California,Nov,Quarter-4,Sales,Sales - Product 1,28344.6712,48185.94104,Alpha
Company 1,San Francisco,California,Nov,Quarter-4,Sales,Sales - Product 2,14172.3356,12755.10204,Alpha
Company 1,San Francisco,California,Nov,Quarter-4,Sales,Sales - Product 3,14172.3356,10629.2517,Bravo
Company 1,San Francisco,California,Dec,Quarter-4,Sales,Sales - Product 1,28344.6712,48185.94104,Alpha
Company 1,San Francisco,California,Dec,Quarter-4,Sales,Sales - Product 2,14172.3356,12755.10204,Alpha
Company 1,San Francisco,California,Dec,Quarter-4,Sales,Sales - Product 3,14172.3356,12755.10204,Bravo
Company 2,Culver City,California,Jan,Quarter-1,Sales,Sales - Product 1,45351.47392,54421.76871,Alpha
Company 2,Culver City,California,Jan,Quarter-1,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,Jan,Quarter-1,Sales,Sales - Product 3,22675.73696,19274.37642,Bravo
Company 2,Culver City,California,Feb,Quarter-1,Sales,Sales - Product 1,45351.47392,54421.76871,Alpha
Company 2,Culver City,California,Feb,Quarter-1,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,Feb,Quarter-1,Sales,Sales - Product 3,22675.73696,18140.58957,Bravo
Company 2,Culver City,California,Mar,Quarter-1,Sales,Sales - Product 1,45351.47392,54421.76871,Alpha
Company 2,Culver City,California,Mar,Quarter-1,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,Mar,Quarter-1,Sales,Sales - Product 3,22675.73696,19501.13379,Bravo
Company 2,Culver City,California,April,Quarter-2,Sales,Sales - Product 1,45351.47392,43083.90023,Alpha
Company 2,Culver City,California,April,Quarter-2,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,April,Quarter-2,Sales,Sales - Product 3,22675.73696,20408.16327,Bravo
Company 2,Culver City,California,May,Quarter-2,Sales,Sales - Product 1,45351.47392,43083.90023,Alpha
Company 2,Culver City,California,May,Quarter-2,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,May,Quarter-2,Sales,Sales - Product 3,22675.73696,24943.31066,Bravo
Company 2,Culver City,California,June,Quarter-2,Sales,Sales - Product 1,45351.47392,43083.90023,Alpha
Company 2,Culver City,California,June,Quarter-2,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,June,Quarter-2,Sales,Sales - Product 3,22675.73696,27210.88435,Bravo
Company 2,Culver City,California,July,Quarter-3,Sales,Sales - Product 1,45351.47392,43083.90023,Alpha
Company 2,Culver City,California,July,Quarter-3,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,July,Quarter-3,Sales,Sales - Product 3,22675.73696,17006.80272,Bravo
Company 2,Culver City,California,Aug,Quarter-3,Sales,Sales - Product 1,45351.47392,43083.90023,Alpha
Company 2,Culver City,California,Aug,Quarter-3,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,Aug,Quarter-3,Sales,Sales - Product 3,22675.73696,17006.80272,Bravo
Company 2,Culver City,California,Sept,Quarter-3,Sales,Sales - Product 1,45351.47392,77097.50567,Alpha
Company 2,Culver City,California,Sept,Quarter-3,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
Company 2,Culver City,California,Sept,Quarter-3,Sales,Sales - Product 3,22675.73696,17006.80272,Bravo
Company 2,Culver City,California,Oct,Quarter-4,Sales,Sales - Product 1,45351.47392,77097.50567,Alpha
Company 2,Culver City,California,Oct,Quarter-4,Sales,Sales - Product 2,22675.73696,9070.294785,Alpha
